iter	Accuracy	MultiClass
0	0.3918682894	1.604707508
1	0.4066306555	1.60017994
2	0.4137444092	1.595769207
3	0.4258683159	1.591430296
4	0.4320676337	1.587072416
5	0.4404820364	1.582507031
6	0.4439433554	1.578617151
7	0.4481014506	1.574416136
8	0.4487610655	1.570450597
9	0.4508752837	1.5664283
10	0.4522449467	1.562468984
11	0.4538561588	1.558783797
12	0.4595113276	1.554453577
13	0.4584442645	1.551170144
14	0.4589937224	1.547634036
15	0.4622652528	1.543884832
16	0.4623236492	1.540510522
17	0.462893015	1.536970434
18	0.4659137059	1.533198034
19	0.4690989688	1.529386076
20	0.469988188	1.525908799
21	0.4706026783	1.522484141
22	0.4740294902	1.519201866
23	0.4754947111	1.515835372
24	0.4766599865	1.51250326
25	0.4769785127	1.509497928
26	0.4775784039	1.506091702
27	0.4774602838	1.503213445
28	0.477634146	1.50017259
29	0.4773554355	1.497150184
30	0.4801093607	1.493858845
31	0.4804451405	1.490870074
32	0.4807211966	1.487983037
33	0.4806176756	1.485342798
34	0.4824903447	1.4821877
35	0.4825527227	1.479275299
36	0.4835759884	1.476583387
37	0.482830106	1.474240793
38	0.484694812	1.47157814
39	0.4841480085	1.469095641
40	0.4838746068	1.466702566
41	0.4858269075	1.463717859
42	0.4868010671	1.461224113
43	0.48691786	1.458904141
44	0.4867532881	1.456570613
45	0.4869019337	1.454213714
46	0.4870266898	1.45140425
47	0.488782566	1.449275581
48	0.4897633615	1.446538167
49	0.4900261457	1.444246959
