iter	Passed	Remaining
0	3136	153695
1	6106	146559
2	9685	151746
3	12944	148863
4	16004	144042
5	19016	139454
6	21894	134497
7	24932	130896
8	27598	125724
9	30381	121527
10	32912	116688
11	35505	112433
12	38278	108946
13	40694	104642
14	43103	100574
15	45558	96812
16	48010	93196
17	50422	89639
18	52837	86209
19	55405	83107
20	57787	79801
21	60266	76703
22	62619	73510
23	64986	70401
24	67400	67400
25	69942	64562
26	72302	61591
27	74629	58637
28	76895	55682
29	79310	52873
30	81940	50221
31	84469	47514
32	87161	44901
33	89488	42112
34	91922	39395
35	94253	36653
36	96627	33950
37	98748	31183
38	101207	28545
39	103509	25877
40	105761	23215
41	108295	20627
42	110677	18017
43	113094	15421
44	115579	12842
45	118121	10271
46	120964	7721
47	123318	5138
48	125736	2566
49	128099	0
